Town Name,Center Latitude,Center Longitude,Total Population,Number of Births,Resident Births,Resident Birth Rate,District Type,Eligible for Free Lunch,Estimated 3-4 Year Olds In Poverty,Per Capita Income,Town Wealth,Town Wealth Rank
Waterford,41.35,-72.15,18940,369,166,8.8,0,0.06,22.14,26807,255871.38,124
Watertown,41.61,-73.12,22330,418,196,8.8,0,0.12,50.16,26044,148834.8,68
WestHartford,41.75,-72.76,61173,758,692,11.3,2,0.14,106.12,33468,191344.53,101
WestHaven,41.27,-72.95,52923,1418,737,13.9,1,0.44,623.92,21121,82531.64,17
Westbrook,41.29,-72.45,6599,746,58,8.8,0,0.08,59.68,28680,334801.72,142
Weston,41.2,-73.38,10276,170,105,10.2,0,0.01,1.7,74817,811273.47,164
Westport,41.14,-73.36,26615,606,265,10,0,0.02,12.12,73664,1211245.06,166
Wethersfield,41.71,-72.65,26220,523,245,9.3,0,0.11,57.53,28930,159262.58,75
Willington,41.89,-72.27,6216,109,45,7.2,0,0.05,5.45,27062,127547.66,54
Wilton,41.2,-73.44,17960,433,178,9.9,0,0,0,65806,774828.99,163
Winchester,41.93,-73.08,10857,254,104,9.6,2,0.31,78.74,22589,98442.76,30
Windham,41.7,-72.16,23503,689,317,13.5,1,0.64,440.96,16978,41241.61,4
Windsor,41.85,-72.64,28778,612,318,11.1,2,0.26,159.12,27633,165401.99,82
WindsorLocks,41.93,-72.63,12411,228,114,9.2,0,0.18,41.04,23079,145702.62,64
Wolcott,41.6,-72.99,16228,299,133,8.2,2,0.13,38.87,25018,106961.05,32
Woodbridge,41.35,-73.01,9264,131,54,5.8,0,0.02,2.62,49049,375713.88,145
Woodbury,41.54,-73.21,9734,199,75,7.7,0,0.04,7.96,37903,278880.96,135
Woodstock,41.95,-71.97,8047,140,64,8,2,0.08,11.2,25331,130269.61,57
